Camera, GlobalID, PointX, PointY
RC03, C4082B83-9B48-4B06-AC75-EC3C72B14791, 1783171.01, 5923469.58
RC04, 8FBE1B29-B533-4DFF-A223-1E8814492145, 1783206.4, 5923477.11
RC05, B8430A83-24E7-42BF-8BDE-611C3EEC7ECC, 1783216.82, 5923489.52
RC06, DA8868C4-0A85-467F-BCA4-024A48980238, 1783354.42, 5923568.08
RC08, FAC8C5E0-B6B9-4D51-AC9A-BE176B7510BD, 1783609.58, 5923624.6
RC10, 68150923-0CCA-4060-B4D0-A5745FE10045, 1783369.17, 5923615.76
RC13, B6989D3A-3000-4B40-97C5-31772F5E1E5C, 1783511.75, 5923296.64
RC14, 32224AFC-E271-4236-9907-14B0E5A5EFE3, 1783515.22, 5923339.72
RC15, 0FBA7C33-6B74-49CD-AE43-8300F108DD8B, 1783521.71, 5923416.71
RC15, C413F1F5-8F68-4133-83DD-56C7B9647FE0, 1783636.89, 5923597.37
RC16, 869CE669-C80B-48A7-9438-8EBDE07E7D1F, 1783511.84, 5923446.78
RC23, 3F42083E-2579-4393-B343-28E886BA7EFC, 1783463.39, 5923685
RC25, 827E4B74-E6D5-4053-A297-09F9BF6B1BE3, 1783441.79, 5923942.42
RC26, 59B76774-33B8-4C36-8528-95AF03F95DF3, 1783461.17, 5923937.84
RC27, EEE75894-546C-4251-8A7C-E2FF09C7714E, 1783535.08, 5923610.27
RC28, 0E901253-16CF-446D-835B-754E3D931AED, 1783420.95, 5923868.93
RC30, 0434907C-6465-4CDC-AC89-C080DD9273EB, 1783589.99, 5923714.24
RC33, 8B364E15-DC1A-4966-B79A-3C914AA79B70, 1783444.57, 5923743.95
RC36, E0858D5C-EB0D-4920-AC82-980486C080E7, 1783625.07, 5923571.35
RC43, 2E05DB52-083D-4317-B379-C459724A852C, 1783318.51, 5923626.94
RC44, 9943C3C1-7AEC-4777-8D62-35CB8BB86DA9, 1783320.83, 5923559.45
RC45, 21E75602-EFCF-452E-9D19-AE0781AF18D6, 1783527.07, 5923789
RC48, 100F934C-146A-4861-BB23-ABE38A3C269C, 1783448.61, 5923683.12
RC49, 3C632BD9-79B3-4E62-B942-C7E41CCB081F, 1783623.55, 5923614.27
RC57, E17F716C-00EF-4331-94EC-5A3CBBA90A96, 1783579.9, 5923796.91
RC61, E322BE0A-079F-47B6-A0E2-EA99039EBCB5, 1783415.56, 5923911.95
RC69, 005882E3-EB69-4652-B53D-C51CEE3CDAC8, 1783475.31, 5923797.21